PARTICULARS,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Turnover,271.78,305.53,295.93,338.9,380.69,379.75,442.21,403.2,437.31,390.04
Exports,155.83,169.43,161.53,189.62,197.53,197.21,200.12,181.91,226.37,201.3
PBIDT,35.54,32.99,33.1,35.83,39.95,39.31,39.55,32.73,34.68,30.61
Financial Expenses,13.32,18.6,18.15,16.68,14.38,13.9,14.56,13.95,17.5,18.41
PBDT,22.21,14.39,14.95,19.15,25.57,25.41,24.99,18.78,17.18,12.2
Depreciation & Amortisation Expense,12.7,13.75,14.68,15.3,19.95,14.44,15.92,17.03,16.02,13.07
PBT,9.51,0.64,0.27,3.85,5.62,10.97,9.07,1.75,1.16,-0.87
PAT,5.66,0.13,0.35,3.36,7.19,7.12,5.92,1.03,0.87,1.66
Net Worth,63.15,61.77,63.61,66.86,67.17,74.77,79.03,77.69,76.75,75.05
Gross Fixed Assets,281.77,298.15,311.12,304.32,312.93,335.49,131.11,149.27,151.53,152.45
EPS Rs.,5.5,0.12,0.34,3.27,6.99,6.92,5.76,1,0.85,1.62
